Name,Path,Industry,Num Of Founders,Status,MasterPhD 
"Digital Twin—IoT and Soil-Crop Imaging, a Robust smart Farming Solution",The LAUNCHER,"Agritech,AI/ML,IOT,Private",2.0,Introduced,checked
Caseo,The KICKSTARTER,Mobile,2.0,Introduced,Undergraduate
WormWorks,The KICKSTARTER,Agritech,1.0,First Meeting,Undergraduate
Meeting Point,The LAUNCHER,Automotive,3.0,Introduced,Undergraduate
AeroAid,The LAUNCHER,"Mobile,Automotive,Rescue",3.0,First Meeting,Undergraduate
We Power Energy Company,The KICKSTARTER,"Energy,Mobile,Marketplace,Health,Education,Real Estate",2.0,Introduced,Undergraduate
Blabber,The LAUNCHER,Education,2.0,First Meeting,checked
Lamed,The KICKSTARTER,Student,1.0,Introduced,Undergraduate
Dsee,The LAUNCHER,"HealthCare,Health",6.0,Introduced,checked
VisualDiff,The KICKSTARTER,"AI/ML,Saas,Media",2.0,Introduced,Undergraduate
ZamFresh Poultry Farm,The KICKSTARTER,"Agritech,Marketplace,Education,Health",1.0,Opted Out,Undergraduate
Zeide Roma Solutions Ltd.,The LAUNCHER,"AI/ML,Legal",1.0,Introduced,checked
BDVTrading,The KICKSTARTER,"Gaming,Marketplace",2.0,First Meeting,Undergraduate
Torli,The KICKSTARTER,Retail,1.0,Application,Undergraduate
Classmate,The LAUNCHER,Education,2.0,First Meeting,Undergraduate
Chess like mobile game for children,The KICKSTARTER,"Gaming,Mobile",1.0,First Meeting,Undergraduate
F.B Diamond,The KICKSTARTER,Marketplace,2.0,Introduced,Undergraduate
"An AI platform that is trained on the data of the MAYA website and the SEC website, the platform will process information from financial statements of public companies for analysts and portfolio managers who work for stock exchange members, insurance companies, banks and brokerages. The bot will know how to answer any question about which there is information from the public reports published by the company and will also know how to indicate a reference to the source of the information from which it extracted it. The platform as a final product will be presented to the user on the desktop as his personal bot and he can ask him any question he wants instead of digging and looking for hours for the necessary information in the financial report.",The KICKSTARTER,Fintech,1.0,Introduced,Undergraduate
Anti attack drones,The LAUNCHER,Defense,1.0,First Meeting,Undergraduate
NFThrone,The LAUNCHER,Blockchain,1.0,First Meeting,Undergraduate
CommuniPass,The LAUNCHER,"Fintech,AI/ML,Saas",2.0,First Meeting,checked
Smart Appointment Management System - Dynamic and Automated Appointment Scheduling,The KICKSTARTER,"HealthCare,Health",1.0,First Meeting,Undergraduate
cepo,The LAUNCHER,Fintech,1.0,First Meeting,Undergraduate
ספרותא,The KICKSTARTER,Ebooks,1.0,First Meeting,Undergraduate
IDMA Commerce,The LAUNCHER,Retail,2.0,First Meeting,Undergraduate
Apartments App,The KICKSTARTER,"Mobile,Real Estate",3.0,Application,Undergraduate
Eroom,The LAUNCHER,"Saas,Education,Mobile",2.0,First Meeting,Undergraduate
"Automato system , startup : AgriTech Innovations",The LAUNCHER,Agritech,5.0,Application,checked
suppliers,The KICKSTARTER,"Marketplace,Saas",1.0,Application,Undergraduate
Eroom,The KICKSTARTER,"Education,Saas,Mobile",2.0,First Meeting,Undergraduate
Algo-Rhythm,The KICKSTARTER,AI/ML,4.0,First Meeting,Undergraduate
Blabber,The LAUNCHER,"Saas,Mobile,Education,AI/ML",2.0,IC But Not Invested,checked
Cyclelytics,The LAUNCHER,"HealthCare,AI/ML",1.0,Application,checked
Orbital Pixies,The KICKSTARTER,Space,1.0,First Meeting,Undergraduate
עדיין אין שם,The KICKSTARTER,Health,1.0,First Meeting,Undergraduate
HelmHat,The KICKSTARTER,Safety clothing,1.0,First Meeting,Undergraduate
ISRBILLS,The KICKSTARTER,Financial,1.0,Application,Undergraduate
Diabetes fragility Detector,The KICKSTARTER,"Health,AI/ML",3.0,Application,Undergraduate
Parking Finder App,The KICKSTARTER,"AI/ML,Automotive",1.0,Application,Undergraduate
EIO,The LAUNCHER,"AI/ML,Cyber,Mobile,Security",3.0,First Meeting,Undergraduate
StepAhead,The LAUNCHER,HealthCare,6.0,Introduced,Undergraduate
ForestShield,The KICKSTARTER,Environmental,4.0,First Meeting,Undergraduate
Cytox,The LAUNCHER,"Cyber,HealthCare,Cyber Biosecurity",2.0,First Meeting,checked
ThetaFlow,The LAUNCHER,"HealthCare,Health",1.0,First Meeting,Undergraduate
Green Home Fresher,The LAUNCHER,"Agritech,AI/ML,IOT",2.0,First Meeting,checked
Simplan,The LAUNCHER,Saas,2.0,First Meeting,Undergraduate
Scoot-Walker,The LAUNCHER,"Automotive,HealthCare,Health,rehabilitation",2.0,First Meeting,Undergraduate
Quick consume,The KICKSTARTER,Retail,1.0,Opted Out,Undergraduate
Cleaner,The KICKSTARTER,Health,1.0,First Meeting,Undergraduate
A trip generator. That can offer you a full trip recommendations based on your preference and ai tools,The KICKSTARTER,AI/ML,1.0,Application,Undergraduate
AllerBite,The KICKSTARTER,Health,5.0,First Meeting,Undergraduate
down2earth,The KICKSTARTER,Marketplace,2.0,Introduced,Undergraduate
RightTrack,The KICKSTARTER,Fintech,4.0,Application,Undergraduate
Face2Face,The KICKSTARTER,"Mobile,Non profit,Government,Education",1.0,First Meeting,Undergraduate
Social Order,The LAUNCHER,"AI/ML,Saas,Mobile",3.0,First Meeting,checked
JobU,The KICKSTARTER,"Mobile,job market",2.0,Application,Undergraduate
Friendly - AI-powered matching system that connects nearby city moms based on needs and proximity,The LAUNCHER,"AI/ML,Mobile,Saas,Social networks",2.0,IC But Not Invested,checked
Airtlas,The KICKSTARTER,Health,5.0,Introduced,Undergraduate
workout form correction,The KICKSTARTER,"AI/ML,Health,HealthCare,sports",1.0,Introduced,Undergraduate
PLAIBOOK,The KICKSTARTER,"AI/ML,football",2.0,Live Pitch Event,Undergraduate
Fake News finder  app/web,The KICKSTARTER,"Mobile,Cyber,AI/ML",3.0,First Meeting,Undergraduate
A SLEEP-AID FORMULATION COMPRISING IMMEDIATE RELEASE AND DELAYED- RELEASE COMPOSITIONS;,The LAUNCHER,"Health,HealthCare,Biotech",2.0,First Meeting,checked
MaWay,The LAUNCHER,"AI/ML,Mobile,Marketplace,Travel Tech",1.0,IC But Not Invested,Undergraduate
מכונית מתנגשת כתחליף לרגילה למניעת תאונות,The KICKSTARTER,מסעדה,1.0,Opted Out,Undergraduate
BizBloom,The LAUNCHER,Saas,2.0,First Meeting,Undergraduate
StudentWear,The KICKSTARTER,Retail,1.0,First Meeting,Undergraduate
PAOZA,The LAUNCHER,Energy,4.0,Introduced,Undergraduate
Shalev,The LAUNCHER,"Health,Non profit,Government,HealthCare",1.0,First Meeting,checked
EduTAllor,The KICKSTARTER,"Saas,Education,AI/ML",2.0,First Meeting,Undergraduate
E.C.H.O,The KICKSTARTER,"Marketplace,Mobile,AI/ML",2.0,First Meeting,Undergraduate
TicketMarket,The LAUNCHER,Mobile,1.0,First Meeting,Undergraduate
avocadobox,The KICKSTARTER,Agritech,1.0,Introduced,Undergraduate
getlose,The KICKSTARTER,Gaming,3.0,Introduced,Undergraduate
Acneowledge,The KICKSTARTER,"HealthCare,Health,AI/ML",2.0,Introduced,Undergraduate
Tipsy King,The LAUNCHER,"Gaming,Retail,Mobile",2.0,Introduced,Undergraduate
CHECKISTHEBEST,The LAUNCHER,Energy,2.0,Application,Undergraduate
DFCHECK,The KICKSTARTER,HealthCare,2.0,Application,Undergraduate
WiseWatch,The LAUNCHER,"Agritech,Saas",3.0,IC But Not Invested,checked
THERAPEUTICAI,The LAUNCHER,Health,3.0,First Meeting,checked
Whilx,The LAUNCHER,"Saas,Energy,Automotive",3.0,Denied,Undergraduate
Sympato,The LAUNCHER,"AI/ML,IOT,Health,HealthCare",1.0,Denied,checked
DeliGate,The LAUNCHER,"Health,Digital Health",3.0,IC But Not Invested,checked
תנועת ההתיישבות בנגב המערבי,The LAUNCHER,"Agritech,Government,Non profit",6.0,Denied,Undergraduate
Cutt,The LAUNCHER,"Energy,AI/ML,Mobile,Finance",2.0,IC But Not Invested,checked
Groupi,The LAUNCHER,Mobile,1.0,Denied,checked
Park king,The KICKSTARTER,"Government,Parkings",1.0,Denied,Undergraduate
Companionship Quest \ Friendship,The LAUNCHER,"Mobile,dating",1.0,Opted Out,Undergraduate
safetour,The KICKSTARTER,tourism platforms,1.0,Live Pitch Event,Undergraduate
Click,The LAUNCHER,Mobile,2.0,Denied,Undergraduate
WOXYGEN,The LAUNCHER,HealthCare,5.0,Denied,Undergraduate
Giraffe,The LAUNCHER,Engineering,1.0,Denied,checked
Jiv,The KICKSTARTER,Online services,2.0,Denied,Undergraduate
TalentFlow,The LAUNCHER,"Saas,HRtech",3.0,IC But Not Invested,checked
Amegegnehu,The KICKSTARTER,"Cyber,Non profit,Agritech",1.0,Opted Out,Undergraduate
Plant-Sitter,The KICKSTARTER,Agritech,3.0,Denied,Undergraduate
ANY,The KICKSTARTER,"Education,Mobile,Lifestyle",3.0,Opted Out,Undergraduate
HealthSync - Personalized Health Monitoring,The KICKSTARTER,"Mobile,AI/ML",1.0,Denied,Undergraduate
Ventim,The KICKSTARTER,Saas,2.0,Denied,Undergraduate
Toilet cleaner,The KICKSTARTER,"Marketplace,IOT",1.0,Opted Out,Undergraduate
Charge4car,The KICKSTARTER,Automotive,3.0,Opted Out,Undergraduate
The DocMapper,The KICKSTARTER,"Education,Legal,Government,Non profit,Health,Documetation",3.0,Denied,Undergraduate
פטריוֹת בריאוּת,The LAUNCHER,"Health,HealthCare",2.0,Denied,checked
Shifty,The LAUNCHER,Saas,4.0,Denied,Undergraduate
AI traveling agent,The KICKSTARTER,AI/ML,2.0,Opted Out,Undergraduate
youth connectube,The KICKSTARTER,"Health,Mobile,Non profit,Education",1.0,Denied,Undergraduate
Infolin,The KICKSTARTER,"Health,HealthCare,IOT,AI/ML",3.0,Invested,Undergraduate
HairU,The KICKSTARTER,"Marketplace,HealthCare",2.0,Denied,Undergraduate
bioreactor optimization,The KICKSTARTER,"HealthCare,AI/ML,Energy,Health,Agritech",2.0,Live Pitch Event,Undergraduate
Third eye,The IMPACT,Military,2.0,Denied,Undergraduate
 AI Chatbot Assistant,The KICKSTARTER,AI/ML,1.0,Opted Out,Undergraduate
Double date app,The KICKSTARTER,Mobile,2.0,Denied,Undergraduate
Toilet seat lifter,The KICKSTARTER,HealthCare,2.0,Opted Out,Undergraduate
ghostwrite ai,The LAUNCHER,Saas,2.0,Invested,Undergraduate
Groops,The KICKSTARTER,"Mobile,Marketplace,Saas",1.0,Opted Out,Undergraduate
Bang your head,The KICKSTARTER,Mobile,2.0,Opted Out,Undergraduate
sandra,The LAUNCHER,"HealthCare,AI/ML",3.0,Not 50% BGU,Undergraduate
3D4Israel,The IMPACT,Weapon Industry,1.0,Invested,Undergraduate
Mingle-pool,The LAUNCHER,Matchmaking & Dating,1.0,Denied,checked
Sobiter,The LAUNCHER,"HealthCare,Saas,AI/ML,AI",1.0,Denied,checked
sensors box,The KICKSTARTER,sensors,1.0,Opted Out,Undergraduate
MingleMarkets,The KICKSTARTER,"Retail,Marketplace,Saas",1.0,Denied,Undergraduate
MapIt,The LAUNCHER,"Education,Business software",1.0,Not 50% BGU,Undergraduate
Liquid360,The LAUNCHER,"AR/VR,Security",2.0,Not 50% BGU,checked
Rescue,The IMPACT,"Health,Non profit",2.0,Invested,Undergraduate
DIP,The KICKSTARTER,HealthCare,1.0,Invested,Undergraduate
Driftext,The LAUNCHER,"Education,AI/ML,Saas",1.0,Not 50% BGU,Undergraduate
ECHO,The KICKSTARTER,Dating app,2.0,Denied,Undergraduate
IdeaCenter,The KICKSTARTER,Renewal,1.0,Denied,Undergraduate
Customized Podcast,The KICKSTARTER,"Education,Mobile,Retail",3.0,Live Pitch Event,Undergraduate
Bonobo,The KICKSTARTER,AI/ML,2.0,Denied,Undergraduate
BSO,The LAUNCHER,Cyber,3.0,Opted Out,checked
real,The LAUNCHER,"Real Estate,Mobile,AI/ML",1.0,Denied,checked
DFCheck2,The KICKSTARTER,Retail,1.0,Application,Undergraduate
KICK,The KICKSTARTER,Automotive,1.0,Application,Undergraduate
ImpactNow,The IMPACT,Blockchain,1.0,Application,Undergraduate
Desite,The LAUNCHER,"Health,AI/ML,HealthCare",4.0,IC But Not Invested,checked
Athena,The LAUNCHER,"Saas,Marketplace",3.0,Opted Out,checked
Enty,The LAUNCHER,"Fintech,Marketplace",1.0,Invested,Undergraduate
TripTip,The LAUNCHER,"Government,Tourism",4.0,Live Pitch Event,checked
CommonSense,The LAUNCHER,"Mobile,Health,HealthCare,Communication",3.0,Denied,Undergraduate
ChikChat,The KICKSTARTER,"AI/ML,Mobile,Automotive",2.0,Opted Out,Undergraduate
Merom,The LAUNCHER,"Marketplace,Mobile,AI/ML",3.0,Opted Out,checked
Roommate,The LAUNCHER,"Real Estate,Marketplace,Mobile",1.0,Denied,Undergraduate
ECHO,The KICKSTARTER,"Mobile,Dating app",2.0,Denied,Undergraduate
BASKET-AI,The KICKSTARTER,Gaming,1.0,Application,Undergraduate
ChatPDFbASKETBALL,The LAUNCHER,Non profit,2.0,Application,Undergraduate
BASKETBALL LEBRON JAMES 23,The KICKSTARTER,Government,2.0,Application,Undergraduate
i.vus,The KICKSTARTER,HealthCare,2.0,Invested,Undergraduate
ElectriWall,The LAUNCHER,Energy,2.0,Denied,checked
An Implanted Syringe,The LAUNCHER,Health,3.0,Denied,checked
Dive log app,The LAUNCHER,Sports app,2.0,Denied,Undergraduate
i - Therapy,The KICKSTARTER,"AR/VR,HealthCare",1.0,Denied,Undergraduate
Thunder.Health,The KICKSTARTER,"Health,HealthCare",1.0,Denied,Undergraduate
Mommy,The KICKSTARTER,"Saas,Social",2.0,Opted Out,Undergraduate
SecondFirst,The LAUNCHER,"Marketplace,Community",1.0,Denied,Undergraduate
Louder,The KICKSTARTER,Women’s safety,3.0,Opted Out,Undergraduate
attachable modular wheelchair accessories,The KICKSTARTER,Health,1.0,Live Pitch Event,Undergraduate
Smart refrige,The KICKSTARTER,"AI/ML,IOT,Retail",1.0,Denied,Undergraduate
Breaking Boundaries,The LAUNCHER,"Non profit,Education,HealthCare,Health",1.0,Denied,Undergraduate
manager,The KICKSTARTER,"Health,Education,Mobile",1.0,Denied,Undergraduate
Smart home supply management and monitoring,The KICKSTARTER,Private teachers,1.0,Denied,Undergraduate
Groupi,The LAUNCHER,"Mobile,Social",1.0,Denied,checked
MilliCare,The KICKSTARTER,HealthCare,4.0,Live Pitch Event,Undergraduate
Implanted Syringe,The LAUNCHER,Health,3.0,Denied,checked
a web platform dedicated to podcasts,The KICKSTARTER,Web App,1.0,Denied,Undergraduate
ShoppyFit,The LAUNCHER,"AI/ML,Retail,Saas",2.0,Opted Out,Undergraduate
Sensora,The KICKSTARTER,"HealthCare,AI/ML",4.0,Denied,Undergraduate
Application for reporting available parking spaces,The KICKSTARTER,Mobile,1.0,Opted Out,Undergraduate
TALENTIT,The KICKSTARTER,"Marketplace,Saas,Mobile",1.0,Denied,Undergraduate
no final name currently,The KICKSTARTER,"Education,group fascilitation",1.0,Denied,Undergraduate
MagneTube (a medical products),The LAUNCHER,HealthCare,4.0,IC But Not Invested,Undergraduate
Partya,The KICKSTARTER,Events,1.0,Denied,Undergraduate
איפה אפי,The KICKSTARTER,"Health,HealthCare",1.0,Denied,Undergraduate
automatic judge,The KICKSTARTER,"AI/ML,Saas",2.0,Denied,Undergraduate
Pop Star,The KICKSTARTER,"Energy,HealthCare,recycling Industrial",2.0,Opted Out,Undergraduate
vacation planner based on AI,The KICKSTARTER,"Saas,Government,Education",2.0,Denied,Undergraduate
Hear Clear,The LAUNCHER,"AI/ML,SW Eng",2.0,IC But Not Invested,checked
GlaucoMonitor,The LAUNCHER,"HealthCare,AI/ML,Health",2.0,Opted Out,checked
Aspectral,The KICKSTARTER,"AI/ML,Agritech",1.0,Denied,Undergraduate
Remora,The KICKSTARTER,"AI/ML,Saas,Autodesk BIM 360,Construction industry,Revit",5.0,Denied,Undergraduate
Mashcantas,The KICKSTARTER,Fintech,3.0,Denied,Undergraduate
BuildShield,The KICKSTARTER,"Marketplace,Saas,Government,Mobile,Real Estate",1.0,Denied,Undergraduate
Dit by nosolo,The KICKSTARTER,Time managment,4.0,Denied,Undergraduate
Acoustic Device,The LAUNCHER,"AI/ML,Electronics",2.0,Opted Out,Undergraduate
workit,The KICKSTARTER,"Marketplace,workspaces",4.0,Denied,Undergraduate
Cpp,The KICKSTARTER,Health,1.0,Denied,Undergraduate
Enty,The KICKSTARTER,Fintech,1.0,Live Pitch Event,Undergraduate
The Priest,The KICKSTARTER,"Education,AI/ML",1.0,Denied,Undergraduate
Miss Moving On,The LAUNCHER,"Mobile,Mental Health",2.0,Denied,Undergraduate
Coddy,The LAUNCHER,"Saas,Education",3.0,IC But Not Invested,Undergraduate
Goaly,The LAUNCHER,"AI/ML,Mobile",2.0,Denied,Undergraduate
Avatar Bill,The KICKSTARTER,"Energy,IOT,Fintech,Real Estate",4.0,Invested,Undergraduate
A system for monitoring and analyzing people's profiles for psychological treatment appropriate to their data,The KICKSTARTER,Currently student,1.0,Opted Out,Undergraduate
לפתור את בעיית ההתמכרות בכל סוג,The KICKSTARTER,Marketplace,1.0,Denied,Undergraduate
foodata,The KICKSTARTER,"Saas,supply chain",4.0,Denied,Undergraduate
Amenoti,The KICKSTARTER,"Saas,Health,HealthCare,Fitness",2.0,Denied,Undergraduate
soilio,The KICKSTARTER,construction,4.0,Denied,Undergraduate
BizBloom,The KICKSTARTER,"Saas,Fintech",2.0,Live Pitch Event,Undergraduate
Lebsh,The KICKSTARTER,"Retail,Marketplace,Empowering women",1.0,Denied,Undergraduate
smart basketball,The KICKSTARTER,IOT,1.0,Opted Out,Undergraduate
SocialOrder,The KICKSTARTER,"AI/ML,Health,HealthCare,Mobile",1.0,Introduced,Undergraduate
Lifesaver Bracelet ,The KICKSTARTER,"Health,HealthCare",1.0,Denied,Undergraduate
MyceliaWay,The KICKSTARTER,FoodTech,2.0,Opted Out,Undergraduate
Kasset,The KICKSTARTER,Music industry,2.0,Opted Out,Undergraduate
SwapIt,The KICKSTARTER,Retail,1.0,Live Pitch Event,Undergraduate
TeachMe,The KICKSTARTER,"Education,Information systems",1.0,Denied,Undergraduate
Application to sell clothes secondhand (all over Israel),The KICKSTARTER,Mobile,2.0,Opted Out,Undergraduate
ChangeIT,The KICKSTARTER,"Mobile,Marketplace",1.0,Live Pitch Event,Undergraduate
toqa,The KICKSTARTER,beauty,1.0,Opted Out,Undergraduate
IntelliTennis,The KICKSTARTER,"IOT,AI/ML,Sports",2.0,Invested,Undergraduate
Indonesia Israel Center,The KICKSTARTER,"Education,Non profit",3.0,Opted Out,Undergraduate
ZENAT,The LAUNCHER,"Marketplace,Saas",2.0,Opted Out,Undergraduate
Sentimedia.io,The LAUNCHER,Fintech,2.0,Invested,checked
EasyCare,The KICKSTARTER,"HealthCare,Health",2.0,Opted Out,Undergraduate
no name yet,The KICKSTARTER,industry,1.0,Opted Out,Undergraduate
MangaRead,The KICKSTARTER,Mobile,2.0,Invested,Undergraduate
Tmed,The KICKSTARTER,"Health,Retail",1.0,Opted Out,Undergraduate
Two ideas:1- virtuals school app  ased on 3 min videos for learning2:streamer with built in camera to help elder people communicate through tv,The LAUNCHER,Education,2.0,Denied,checked
SunCar,The KICKSTARTER,Energy,1.0,Denied,Undergraduate
i - Therapy,The KICKSTARTER,"AR/VR,Health",1.0,Denied,Undergraduate
EcoAc,The KICKSTARTER,"AI/ML,Energy",2.0,Opted Out,Undergraduate
Wolp,The KICKSTARTER,recruitment and employement platform,1.0,Opted Out,Undergraduate
End-To-End Web Platform for ECG Short Strips Tracking and Interpretation,The LAUNCHER,"IOT,Saas,AI/ML",1.0,Denied,Undergraduate
Maxovary,The LAUNCHER,HealthCare,2.0,Invested,Undergraduate
EndOFTraffic,The KICKSTARTER,Automotive,1.0,Opted Out,Undergraduate
rapid biodegradable toilet papers,The KICKSTARTER,waste management,1.0,Denied,Undergraduate
Wood tech,The LAUNCHER,Wood tech,1.0,Denied,checked
Consciousness index,The LAUNCHER,HealthCare,1.0,Relocated to oasis,Undergraduate
Yob,The KICKSTARTER,"Mobile,Marketplace,Find a Job",1.0,Denied,Undergraduate
Publish or Publish,The KICKSTARTER,Education,1.0,Opted Out,Undergraduate
FACilNUEVO,The KICKSTARTER,Marketplace,1.0,Opted Out,Undergraduate
